,Year,Category,Data Type,val
12207,1/1/1996,General Merch,Sales- Monthly,17336
12227,1/1/1996,Food & Drinks,Sales- Monthly,19742
12246,1/1/1996,Food & Drinks,Inventories- Monthly,28762
12248,1/1/1996,General Merch,Inventories- Monthly,59632
12249,1/1/1996,General Merch,Inventories- Monthly,43592
12264,1/1/1996,Food & Drinks,Inventories/Sales Ratio,0.87
12266,1/1/1996,General Merch,Inventories/Sales Ratio,2.33
12267,1/1/1996,General Merch,Inventories/Sales Ratio,2.51
12273,1/1/1996,Food & Drinks,Inventories - Monthly Percent Change,0.4
12275,1/1/1996,General Merch,Inventories - Monthly Percent Change,-0.2
12276,1/1/1996,General Merch,Inventories - Monthly Percent Change,0.1
12299,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,-0.5
12300,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,-0.4
12303,1/1/1996,Pharmacy,Sales - Monthly Percent Change,1.8
12312,1/1/1996,General Merch,Sales - Monthly Percent Change,1.6
12313,1/1/1996,General Merch,Sales - Monthly Percent Change,1.5
12321,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,0.9
12399,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,0.4
12400,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,0.5
12403,1/1/1996,Pharmacy,Sales - Monthly Percent Change,2.9
12412,1/1/1996,General Merch,Sales - Monthly Percent Change,-0.2
12413,1/1/1996,General Merch,Sales - Monthly Percent Change,-0.5
12421,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,0.6
12515,1/1/1996,Food & Drinks,Sales- Monthly,33076
12517,1/1/1996,Food & Drinks,Sales- Monthly,30125
12523,1/1/1996,Pharmacy,Sales- Monthly,7555
12553,1/1/1996,General Merch,Sales- Monthly,25576
12557,1/1/1996,General Merch,Sales- Monthly,17248
12577,1/1/1996,Food & Drinks,Sales- Monthly,19862
12596,1/1/1996,Food & Drinks,Inventories- Monthly,28684
12598,1/1/1996,General Merch,Inventories- Monthly,59706
12599,1/1/1996,General Merch,Inventories- Monthly,43673
12614,1/1/1996,Food & Drinks,Inventories/Sales Ratio,0.87
12616,1/1/1996,General Merch,Inventories/Sales Ratio,2.33
12617,1/1/1996,General Merch,Inventories/Sales Ratio,2.53
12623,1/1/1996,Food & Drinks,Inventories - Monthly Percent Change,-0.3
12625,1/1/1996,General Merch,Inventories - Monthly Percent Change,0.1
12626,1/1/1996,General Merch,Inventories - Monthly Percent Change,0.2
12639,1/1/1996,Food & Drinks,Inventories - Monthly Percent Change,0.9
12641,1/1/1996,General Merch,Inventories - Monthly Percent Change,0
12642,1/1/1996,General Merch,Inventories - Monthly Percent Change,-0.1
12665,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,0.3
12666,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,0.3
12669,1/1/1996,Pharmacy,Sales - Monthly Percent Change,-1.5
12678,1/1/1996,General Merch,Sales - Monthly Percent Change,2.1
12679,1/1/1996,General Merch,Sales - Monthly Percent Change,2.5
12687,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,0.4
12781,1/1/1996,Food & Drinks,Sales- Monthly,33174
12783,1/1/1996,Food & Drinks,Sales- Monthly,30220
12789,1/1/1996,Pharmacy,Sales- Monthly,7440
12819,1/1/1996,General Merch,Sales- Monthly,26103
12823,1/1/1996,General Merch,Sales- Monthly,17675
12843,1/1/1996,Food & Drinks,Sales- Monthly,19932
12862,1/1/1996,Food & Drinks,Inventories- Monthly,28950
12864,1/1/1996,General Merch,Inventories- Monthly,59712
12865,1/1/1996,General Merch,Inventories- Monthly,43643
12880,1/1/1996,Food & Drinks,Inventories/Sales Ratio,0.87
12882,1/1/1996,General Merch,Inventories/Sales Ratio,2.29
12883,1/1/1996,General Merch,Inventories/Sales Ratio,2.47
12915,1/1/1996,Food & Drinks,Sales- Monthly,33178
12917,1/1/1996,Food & Drinks,Sales- Monthly,30245
12923,1/1/1996,Pharmacy,Sales- Monthly,7558
12953,1/1/1996,General Merch,Sales- Monthly,26216
12957,1/1/1996,General Merch,Sales- Monthly,17624
12977,1/1/1996,Food & Drinks,Sales- Monthly,20094
12996,1/1/1996,Food & Drinks,Inventories- Monthly,28989
12998,1/1/1996,General Merch,Inventories- Monthly,59742
12999,1/1/1996,General Merch,Inventories- Monthly,43577
13014,1/1/1996,Food & Drinks,Inventories/Sales Ratio,0.87
13016,1/1/1996,General Merch,Inventories/Sales Ratio,2.28
13017,1/1/1996,General Merch,Inventories/Sales Ratio,2.47
13023,1/1/1996,Food & Drinks,Inventories - Monthly Percent Change,0.1
13025,1/1/1996,General Merch,Inventories - Monthly Percent Change,0.1
13026,1/1/1996,General Merch,Inventories - Monthly Percent Change,-0.2
13049,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,0
13050,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,0.1
13053,1/1/1996,Pharmacy,Sales - Monthly Percent Change,1.6
13062,1/1/1996,General Merch,Sales - Monthly Percent Change,0.4
13063,1/1/1996,General Merch,Sales - Monthly Percent Change,-0.3
13071,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,0.8
13149,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,0.3
13150,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,0.1
13153,1/1/1996,Pharmacy,Sales - Monthly Percent Change,0.4
13162,1/1/1996,General Merch,Sales - Monthly Percent Change,-0.5
13163,1/1/1996,General Merch,Sales - Monthly Percent Change,-0.5
13171,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,-0.8
13265,1/1/1996,Food & Drinks,Sales- Monthly,33281
13267,1/1/1996,Food & Drinks,Sales- Monthly,30288
13273,1/1/1996,Pharmacy,Sales- Monthly,7590
13303,1/1/1996,General Merch,Sales- Monthly,26085
13307,1/1/1996,General Merch,Sales- Monthly,17544
13327,1/1/1996,Food & Drinks,Sales- Monthly,19932
13346,1/1/1996,Food & Drinks,Inventories- Monthly,28817
13348,1/1/1996,General Merch,Inventories- Monthly,59979
13349,1/1/1996,General Merch,Inventories- Monthly,43738
13364,1/1/1996,Food & Drinks,Inventories/Sales Ratio,0.87
13366,1/1/1996,General Merch,Inventories/Sales Ratio,2.3
13367,1/1/1996,General Merch,Inventories/Sales Ratio,2.49
13373,1/1/1996,Food & Drinks,Inventories - Monthly Percent Change,-0.6
13375,1/1/1996,General Merch,Inventories - Monthly Percent Change,0.4
13376,1/1/1996,General Merch,Inventories - Monthly Percent Change,0.4
13389,1/1/1996,Food & Drinks,Inventories - Monthly Percent Change,0.9
13391,1/1/1996,General Merch,Inventories - Monthly Percent Change,0.9
13392,1/1/1996,General Merch,Inventories - Monthly Percent Change,0.7
13415,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,0.6
13416,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,0.7
13419,1/1/1996,Pharmacy,Sales - Monthly Percent Change,0.6
13428,1/1/1996,General Merch,Sales - Monthly Percent Change,0.5
13429,1/1/1996,General Merch,Sales - Monthly Percent Change,0.2
13437,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,1.1
13531,1/1/1996,Food & Drinks,Sales- Monthly,33470
13533,1/1/1996,Food & Drinks,Sales- Monthly,30493
13539,1/1/1996,Pharmacy,Sales- Monthly,7637
13569,1/1/1996,General Merch,Sales- Monthly,26209
13573,1/1/1996,General Merch,Sales- Monthly,17581
13593,1/1/1996,Food & Drinks,Sales- Monthly,20145
13612,1/1/1996,Food & Drinks,Inventories- Monthly,29090
13614,1/1/1996,General Merch,Inventories- Monthly,60530
13615,1/1/1996,General Merch,Inventories- Monthly,44063
13630,1/1/1996,Food & Drinks,Inventories/Sales Ratio,0.87
13632,1/1/1996,General Merch,Inventories/Sales Ratio,2.31
13633,1/1/1996,General Merch,Inventories/Sales Ratio,2.51
13665,1/1/1996,Food & Drinks,Sales- Monthly,33542
13667,1/1/1996,Food & Drinks,Sales- Monthly,30555
13673,1/1/1996,Pharmacy,Sales- Monthly,7761
13703,1/1/1996,General Merch,Sales- Monthly,26441
13707,1/1/1996,General Merch,Sales- Monthly,17737
13727,1/1/1996,Food & Drinks,Sales- Monthly,20140
13746,1/1/1996,Food & Drinks,Inventories- Monthly,29084
13748,1/1/1996,General Merch,Inventories- Monthly,61002
13749,1/1/1996,General Merch,Inventories- Monthly,44461
13764,1/1/1996,Food & Drinks,Inventories/Sales Ratio,0.87
13766,1/1/1996,General Merch,Inventories/Sales Ratio,2.31
13767,1/1/1996,General Merch,Inventories/Sales Ratio,2.51
13773,1/1/1996,Food & Drinks,Inventories - Monthly Percent Change,0
13775,1/1/1996,General Merch,Inventories - Monthly Percent Change,0.8
13776,1/1/1996,General Merch,Inventories - Monthly Percent Change,0.9
13799,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,0.2
13800,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,0.2
13803,1/1/1996,Pharmacy,Sales - Monthly Percent Change,1.6
13812,1/1/1996,General Merch,Sales - Monthly Percent Change,0.9
13813,1/1/1996,General Merch,Sales - Monthly Percent Change,0.9
13821,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,0
13899,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,-0.1
13900,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,0
13903,1/1/1996,Pharmacy,Sales - Monthly Percent Change,-0.5
13912,1/1/1996,General Merch,Sales - Monthly Percent Change,0.6
13913,1/1/1996,General Merch,Sales - Monthly Percent Change,0.7
13921,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,1.3
14015,1/1/1996,Food & Drinks,Sales- Monthly,33494
14017,1/1/1996,Food & Drinks,Sales- Monthly,30565
14023,1/1/1996,Pharmacy,Sales- Monthly,7726
14053,1/1/1996,General Merch,Sales- Monthly,26590
14057,1/1/1996,General Merch,Sales- Monthly,17866
14077,1/1/1996,Food & Drinks,Sales- Monthly,20397
14096,1/1/1996,Food & Drinks,Inventories- Monthly,29192
14098,1/1/1996,General Merch,Inventories- Monthly,60823
14099,1/1/1996,General Merch,Inventories- Monthly,44238
14114,1/1/1996,Food & Drinks,Inventories/Sales Ratio,0.87
14116,1/1/1996,General Merch,Inventories/Sales Ratio,2.29
14117,1/1/1996,General Merch,Inventories/Sales Ratio,2.48
14123,1/1/1996,Food & Drinks,Inventories - Monthly Percent Change,0.4
14125,1/1/1996,General Merch,Inventories - Monthly Percent Change,-0.3
14126,1/1/1996,General Merch,Inventories - Monthly Percent Change,-0.5
14139,1/1/1996,Food & Drinks,Inventories - Monthly Percent Change,0.9
14141,1/1/1996,General Merch,Inventories - Monthly Percent Change,0.1
14142,1/1/1996,General Merch,Inventories - Monthly Percent Change,0.1
14165,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,0.6
14166,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,0.7
14169,1/1/1996,Pharmacy,Sales - Monthly Percent Change,1.7
14178,1/1/1996,General Merch,Sales - Monthly Percent Change,1.2
14179,1/1/1996,General Merch,Sales - Monthly Percent Change,0.8
14187,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,0.8
14281,1/1/1996,Food & Drinks,Sales- Monthly,33704
14283,1/1/1996,Food & Drinks,Sales- Monthly,30766
14289,1/1/1996,Pharmacy,Sales- Monthly,7858
14319,1/1/1996,General Merch,Sales- Monthly,26904
14323,1/1/1996,General Merch,Sales- Monthly,18017
14343,1/1/1996,Food & Drinks,Sales- Monthly,20551
14362,1/1/1996,Food & Drinks,Inventories- Monthly,29456
14364,1/1/1996,General Merch,Inventories- Monthly,60877
14365,1/1/1996,General Merch,Inventories- Monthly,44266
14380,1/1/1996,Food & Drinks,Inventories/Sales Ratio,0.87
14382,1/1/1996,General Merch,Inventories/Sales Ratio,2.26
14383,1/1/1996,General Merch,Inventories/Sales Ratio,2.46
14415,1/1/1996,Food & Drinks,Sales- Monthly,33734
14417,1/1/1996,Food & Drinks,Sales- Monthly,30768
14423,1/1/1996,Pharmacy,Sales- Monthly,7888
14453,1/1/1996,General Merch,Sales- Monthly,26772
14457,1/1/1996,General Merch,Sales- Monthly,17970
14477,1/1/1996,Food & Drinks,Sales- Monthly,20789
14496,1/1/1996,Food & Drinks,Inventories- Monthly,29542
14498,1/1/1996,General Merch,Inventories- Monthly,60909
14499,1/1/1996,General Merch,Inventories- Monthly,44356
14514,1/1/1996,Food & Drinks,Inventories/Sales Ratio,0.88
14516,1/1/1996,General Merch,Inventories/Sales Ratio,2.28
14517,1/1/1996,General Merch,Inventories/Sales Ratio,2.47
14523,1/1/1996,Food & Drinks,Inventories - Monthly Percent Change,0.3
14525,1/1/1996,General Merch,Inventories - Monthly Percent Change,0.1
14526,1/1/1996,General Merch,Inventories - Monthly Percent Change,0.2
14549,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,0.1
14550,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,0
14553,1/1/1996,Pharmacy,Sales - Monthly Percent Change,0.4
14562,1/1/1996,General Merch,Sales - Monthly Percent Change,-0.5
14563,1/1/1996,General Merch,Sales - Monthly Percent Change,-0.3
14571,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,1.2
14649,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,0.3
14650,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,0.4
14653,1/1/1996,Pharmacy,Sales - Monthly Percent Change,1.1
14662,1/1/1996,General Merch,Sales - Monthly Percent Change,1
14663,1/1/1996,General Merch,Sales - Monthly Percent Change,0.8
14671,1/1/1996,Food & Drinks,Sales - Monthly Percent Change,-0.4
14765,1/1/1996,Food & Drinks,Sales- Monthly,33819
14767,1/1/1996,Food & Drinks,Sales- Monthly,30879
14773,1/1/1996,Pharmacy,Sales- Monthly,7978
14803,1/1/1996,General Merch,Sales- Monthly,27051
14807,1/1/1996,General Merch,Sales- Monthly,18117
14827,1/1/1996,Food & Drinks,Sales- Monthly,20707
14846,1/1/1996,Food & Drinks,Inventories- Monthly,29658
14848,1/1/1996,General Merch,Inventories- Monthly,60591
14849,1/1/1996,General Merch,Inventories- Monthly,44124
14864,1/1/1996,Food & Drinks,Inventories/Sales Ratio,0.88
14866,1/1/1996,General Merch,Inventories/Sales Ratio,2.24
14867,1/1/1996,General Merch,Inventories/Sales Ratio,2.44
14873,1/1/1996,Food & Drinks,Inventories - Monthly Percent Change,0.4
14875,1/1/1996,General Merch,Inventories - Monthly Percent Change,-0.5
14876,1/1/1996,General Merch,Inventories - Monthly Percent Change,-0.5
14889,1/1/1997,Food & Drinks,Inventories - Monthly Percent Change,-0.2
14891,1/1/1997,General Merch,Inventories - Monthly Percent Change,-0.9
14892,1/1/1997,General Merch,Inventories - Monthly Percent Change,-0.8
14915,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,0.7
14916,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,0.5
14919,1/1/1997,Pharmacy,Sales - Monthly Percent Change,-0.3
14928,1/1/1997,General Merch,Sales - Monthly Percent Change,0.6
14929,1/1/1997,General Merch,Sales - Monthly Percent Change,0.1
14937,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,1.9
15032,1/1/1997,Food & Drinks,Sales- Monthly,34049
15034,1/1/1997,Food & Drinks,Sales- Monthly,31030
15040,1/1/1997,Pharmacy,Sales- Monthly,7953
15070,1/1/1997,General Merch,Sales- Monthly,27216
15074,1/1/1997,General Merch,Sales- Monthly,18138
15094,1/1/1997,Food & Drinks,Sales- Monthly,21110
15113,1/1/1997,Food & Drinks,Inventories- Monthly,29592
15115,1/1/1997,General Merch,Inventories- Monthly,60025
15116,1/1/1997,General Merch,Inventories- Monthly,43764
15131,1/1/1997,Food & Drinks,Inventories/Sales Ratio,0.87
15133,1/1/1997,General Merch,Inventories/Sales Ratio,2.21
15134,1/1/1997,General Merch,Inventories/Sales Ratio,2.41
15167,1/1/1997,Food & Drinks,Sales- Monthly,33989
15169,1/1/1997,Food & Drinks,Sales- Monthly,30991
15175,1/1/1997,Pharmacy,Sales- Monthly,8084
15205,1/1/1997,General Merch,Sales- Monthly,27262
15209,1/1/1997,General Merch,Sales- Monthly,18185
15229,1/1/1997,Food & Drinks,Sales- Monthly,21136
15248,1/1/1997,Food & Drinks,Inventories- Monthly,29600
15250,1/1/1997,General Merch,Inventories- Monthly,60277
15251,1/1/1997,General Merch,Inventories- Monthly,43944
15266,1/1/1997,Food & Drinks,Inventories/Sales Ratio,0.87
15268,1/1/1997,General Merch,Inventories/Sales Ratio,2.21
15269,1/1/1997,General Merch,Inventories/Sales Ratio,2.42
15275,1/1/1997,Food & Drinks,Inventories - Monthly Percent Change,0
15277,1/1/1997,General Merch,Inventories - Monthly Percent Change,0.4
15278,1/1/1997,General Merch,Inventories - Monthly Percent Change,0.4
15301,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,-0.2
15302,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,-0.1
15305,1/1/1997,Pharmacy,Sales - Monthly Percent Change,1.6
15314,1/1/1997,General Merch,Sales - Monthly Percent Change,0.2
15315,1/1/1997,General Merch,Sales - Monthly Percent Change,0.3
15323,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,0.1
15402,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,0.5
15403,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,0.4
15406,1/1/1997,Pharmacy,Sales - Monthly Percent Change,2.4
15415,1/1/1997,General Merch,Sales - Monthly Percent Change,0.2
15416,1/1/1997,General Merch,Sales - Monthly Percent Change,0.3
15424,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,0.2
15520,1/1/1997,Food & Drinks,Sales- Monthly,34156
15522,1/1/1997,Food & Drinks,Sales- Monthly,31109
15528,1/1/1997,Pharmacy,Sales- Monthly,8280
15558,1/1/1997,General Merch,Sales- Monthly,27304
15562,1/1/1997,General Merch,Sales- Monthly,18238
15582,1/1/1997,Food & Drinks,Sales- Monthly,21171
15601,1/1/1997,Food & Drinks,Inventories- Monthly,29657
15603,1/1/1997,General Merch,Inventories- Monthly,59897
15604,1/1/1997,General Merch,Inventories- Monthly,43805
15619,1/1/1997,Food & Drinks,Inventories/Sales Ratio,0.87
15621,1/1/1997,General Merch,Inventories/Sales Ratio,2.19
15622,1/1/1997,General Merch,Inventories/Sales Ratio,2.4
15628,1/1/1997,Food & Drinks,Inventories - Monthly Percent Change,0.2
15630,1/1/1997,General Merch,Inventories - Monthly Percent Change,-0.6
15631,1/1/1997,General Merch,Inventories - Monthly Percent Change,-0.3
15644,1/1/1997,Food & Drinks,Inventories - Monthly Percent Change,-0.3
15646,1/1/1997,General Merch,Inventories - Monthly Percent Change,1
15647,1/1/1997,General Merch,Inventories - Monthly Percent Change,0.8
15670,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,-0.3
15671,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,-0.1
15674,1/1/1997,Pharmacy,Sales - Monthly Percent Change,-3.4
15683,1/1/1997,General Merch,Sales - Monthly Percent Change,-0.5
15684,1/1/1997,General Merch,Sales - Monthly Percent Change,-0.8
15692,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,0.2
15788,1/1/1997,Food & Drinks,Sales- Monthly,34056
15790,1/1/1997,Food & Drinks,Sales- Monthly,31065
15796,1/1/1997,Pharmacy,Sales- Monthly,7997
15826,1/1/1997,General Merch,Sales- Monthly,27179
15830,1/1/1997,General Merch,Sales- Monthly,18096
15850,1/1/1997,Food & Drinks,Sales- Monthly,21216
15869,1/1/1997,Food & Drinks,Inventories- Monthly,29575
15871,1/1/1997,General Merch,Inventories- Monthly,60508
15872,1/1/1997,General Merch,Inventories- Monthly,44170
15887,1/1/1997,Food & Drinks,Inventories/Sales Ratio,0.87
15889,1/1/1997,General Merch,Inventories/Sales Ratio,2.23
15890,1/1/1997,General Merch,Inventories/Sales Ratio,2.44
15923,1/1/1997,Food & Drinks,Sales- Monthly,33978
15925,1/1/1997,Food & Drinks,Sales- Monthly,30987
15931,1/1/1997,Pharmacy,Sales- Monthly,8137
15961,1/1/1997,General Merch,Sales- Monthly,27328
15965,1/1/1997,General Merch,Sales- Monthly,18194
15985,1/1/1997,Food & Drinks,Sales- Monthly,21230
16004,1/1/1997,Food & Drinks,Inventories- Monthly,29702
16006,1/1/1997,General Merch,Inventories- Monthly,60521
16007,1/1/1997,General Merch,Inventories- Monthly,44126
16022,1/1/1997,Food & Drinks,Inventories/Sales Ratio,0.87
16024,1/1/1997,General Merch,Inventories/Sales Ratio,2.21
16025,1/1/1997,General Merch,Inventories/Sales Ratio,2.43
16031,1/1/1997,Food & Drinks,Inventories - Monthly Percent Change,0.4
16033,1/1/1997,General Merch,Inventories - Monthly Percent Change,0
16034,1/1/1997,General Merch,Inventories - Monthly Percent Change,-0.1
16057,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,-0.2
16058,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,-0.3
16061,1/1/1997,Pharmacy,Sales - Monthly Percent Change,1.8
16070,1/1/1997,General Merch,Sales - Monthly Percent Change,0.5
16071,1/1/1997,General Merch,Sales - Monthly Percent Change,0.5
16079,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,0.1
16158,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,-0.3
16159,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,-0.6
16162,1/1/1997,Pharmacy,Sales - Monthly Percent Change,1.2
16171,1/1/1997,General Merch,Sales - Monthly Percent Change,0.4
16172,1/1/1997,General Merch,Sales - Monthly Percent Change,0.5
16180,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,0.7
16276,1/1/1997,Food & Drinks,Sales- Monthly,33892
16278,1/1/1997,Food & Drinks,Sales- Monthly,30804
16284,1/1/1997,Pharmacy,Sales- Monthly,8231
16314,1/1/1997,General Merch,Sales- Monthly,27433
16318,1/1/1997,General Merch,Sales- Monthly,18276
16338,1/1/1997,Food & Drinks,Sales- Monthly,21382
16357,1/1/1997,Food & Drinks,Inventories- Monthly,29720
16359,1/1/1997,General Merch,Inventories- Monthly,60638
16360,1/1/1997,General Merch,Inventories- Monthly,44227
16375,1/1/1997,Food & Drinks,Inventories/Sales Ratio,0.88
16377,1/1/1997,General Merch,Inventories/Sales Ratio,2.21
16378,1/1/1997,General Merch,Inventories/Sales Ratio,2.42
16384,1/1/1997,Food & Drinks,Inventories - Monthly Percent Change,0.1
16386,1/1/1997,General Merch,Inventories - Monthly Percent Change,0.2
16387,1/1/1997,General Merch,Inventories - Monthly Percent Change,0.2
16400,1/1/1997,Food & Drinks,Inventories - Monthly Percent Change,-0.1
16402,1/1/1997,General Merch,Inventories - Monthly Percent Change,-0.3
16403,1/1/1997,General Merch,Inventories - Monthly Percent Change,-0.5
16426,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,0.6
16427,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,0.7
16430,1/1/1997,Pharmacy,Sales - Monthly Percent Change,0
16439,1/1/1997,General Merch,Sales - Monthly Percent Change,1.9
16440,1/1/1997,General Merch,Sales - Monthly Percent Change,1.4
16448,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,1.4
16544,1/1/1997,Food & Drinks,Sales- Monthly,34106
16546,1/1/1997,Food & Drinks,Sales- Monthly,31022
16552,1/1/1997,Pharmacy,Sales- Monthly,8230
16582,1/1/1997,General Merch,Sales- Monthly,27949
16586,1/1/1997,General Merch,Sales- Monthly,18529
16606,1/1/1997,Food & Drinks,Sales- Monthly,21689
16625,1/1/1997,Food & Drinks,Inventories- Monthly,29694
16627,1/1/1997,General Merch,Inventories- Monthly,60486
16628,1/1/1997,General Merch,Inventories- Monthly,43993
16643,1/1/1997,Food & Drinks,Inventories/Sales Ratio,0.87
16645,1/1/1997,General Merch,Inventories/Sales Ratio,2.16
16646,1/1/1997,General Merch,Inventories/Sales Ratio,2.37
16679,1/1/1997,Food & Drinks,Sales- Monthly,34256
16681,1/1/1997,Food & Drinks,Sales- Monthly,31160
16687,1/1/1997,Pharmacy,Sales- Monthly,8270
16717,1/1/1997,General Merch,Sales- Monthly,27939
16721,1/1/1997,General Merch,Sales- Monthly,18556
16741,1/1/1997,Food & Drinks,Sales- Monthly,21674
16760,1/1/1997,Food & Drinks,Inventories- Monthly,29995
16762,1/1/1997,General Merch,Inventories- Monthly,60045
16763,1/1/1997,General Merch,Inventories- Monthly,43663
16778,1/1/1997,Food & Drinks,Inventories/Sales Ratio,0.88
16780,1/1/1997,General Merch,Inventories/Sales Ratio,2.15
16781,1/1/1997,General Merch,Inventories/Sales Ratio,2.35
16787,1/1/1997,Food & Drinks,Inventories - Monthly Percent Change,1
16789,1/1/1997,General Merch,Inventories - Monthly Percent Change,-0.7
16790,1/1/1997,General Merch,Inventories - Monthly Percent Change,-0.8
16813,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,0.4
16814,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,0.4
16817,1/1/1997,Pharmacy,Sales - Monthly Percent Change,0.5
16826,1/1/1997,General Merch,Sales - Monthly Percent Change,0
16827,1/1/1997,General Merch,Sales - Monthly Percent Change,0.1
16835,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,-0.1
16914,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,0.1
16915,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,0
16918,1/1/1997,Pharmacy,Sales - Monthly Percent Change,0.9
16927,1/1/1997,General Merch,Sales - Monthly Percent Change,-0.3
16928,1/1/1997,General Merch,Sales - Monthly Percent Change,-0.6
16936,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,1.4
17032,1/1/1997,Food & Drinks,Sales- Monthly,34281
17034,1/1/1997,Food & Drinks,Sales- Monthly,31171
17040,1/1/1997,Pharmacy,Sales- Monthly,8347
17070,1/1/1997,General Merch,Sales- Monthly,27868
17074,1/1/1997,General Merch,Sales- Monthly,18446
17094,1/1/1997,Food & Drinks,Sales- Monthly,21986
17113,1/1/1997,Food & Drinks,Inventories- Monthly,30099
17115,1/1/1997,General Merch,Inventories- Monthly,60326
17116,1/1/1997,General Merch,Inventories- Monthly,43849
17131,1/1/1997,Food & Drinks,Inventories/Sales Ratio,0.88
17133,1/1/1997,General Merch,Inventories/Sales Ratio,2.16
17134,1/1/1997,General Merch,Inventories/Sales Ratio,2.38
17140,1/1/1997,Food & Drinks,Inventories - Monthly Percent Change,0.3
17142,1/1/1997,General Merch,Inventories - Monthly Percent Change,0.5
17143,1/1/1997,General Merch,Inventories - Monthly Percent Change,0.4
17156,1/1/1997,Food & Drinks,Inventories - Monthly Percent Change,-0.5
17158,1/1/1997,General Merch,Inventories - Monthly Percent Change,-0.5
17159,1/1/1997,General Merch,Inventories - Monthly Percent Change,-0.2
17182,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,0.2
17183,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,0.2
17186,1/1/1997,Pharmacy,Sales - Monthly Percent Change,-0.3
17195,1/1/1997,General Merch,Sales - Monthly Percent Change,1
17196,1/1/1997,General Merch,Sales - Monthly Percent Change,0.7
17204,1/1/1997,Food & Drinks,Sales - Monthly Percent Change,-1
17300,1/1/1997,Food & Drinks,Sales- Monthly,34348
17302,1/1/1997,Food & Drinks,Sales- Monthly,31225
17308,1/1/1997,Pharmacy,Sales- Monthly,8326
17338,1/1/1997,General Merch,Sales- Monthly,28155
17342,1/1/1997,General Merch,Sales- Monthly,18580
17362,1/1/1997,Food & Drinks,Sales- Monthly,21758
17381,1/1/1997,Food & Drinks,Inventories- Monthly,29955
17383,1/1/1997,General Merch,Inventories- Monthly,60034
17384,1/1/1997,General Merch,Inventories- Monthly,43748
17399,1/1/1997,Food & Drinks,Inventories/Sales Ratio,0.87
